State Name,Temperature ⁰C,pH,Conductivity (μmhos/cm),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
ANDHRA PRADESH,29.5,7.35,1160.5,8.82,3.0,69.5,782.0,0.6
ANDHRA PRADESH,29.5,7.75,925.5,4.42,3.5,69.5,623.0,1.05
ANDHRA PRADESH,28.0,7.75,1135.0,2.24,4.5,84.0,764.0,0.4
ANDHRA PRADESH,26.0,7.05,3800.0,23.25,5.5,93.0,2576.0,0.95
ANDHRA PRADESH,26.0,8.0,3300.0,24.62,3.5,78.0,2242.0,0.45
ANDHRA PRADESH,25.5,7.65,2040.5,4.04,3.0,24.5,1214.0,0.7
ANDHRA PRADESH,26.0,7.95,1071.0,2.82,5.5,81.5,711.0,0.9
ANDHRA PRADESH,26.0,7.5,11270.0,8.8,8.0,135.0,7654.0,0.5
ANDHRA PRADESH,27.0,7.0,2411.5,6.85,3.0,11.5,1332.5,0.95
ANDHRA PRADESH,27.0,7.05,3669.0,10.9,4.0,17.5,2006.0,1.0
ANDHRA PRADESH,27.0,8.1,1908.0,1.55,3.0,17.5,1164.0,0.85
ANDHRA PRADESH,28.5,7.2,2306.5,6.0,3.0,9.0,1211.0,0.5
ANDHRA PRADESH,25.0,7.25,7194.5,6.0,2.0,8.0,4240.5,1.05
ANDHRA PRADESH,28.0,7.6,1048.0,3.22,3.0,93.0,680.0,0.7
,25.998928571428568,7.274838411819021,1407.0221579961465,2.404896480331263,68.59203980099502,107.90382244143034,922.0459710743802,0.4956299659477866
ANDHRA PRADESH,24.0,7.1,1140.0,8.0,4.0,93.0,746.0,0.8
ANDHRA PRADESH,22.5,7.25,9795.0,6.3,3.0,25.5,6117.0,1.55
ANDHRA PRADESH,25.0,7.45,1923.5,0.5,3.0,30.0,1140.0,0.3
ANDHRA PRADESH,25.0,7.3,878.5,0.94,5.5,84.0,600.0,0.65
ANDHRA PRADESH,27.0,7.2,1397.0,2.0,2.5,7.0,749.0,0.85
