State Name,Temp,pH,Conductivity,Nitrate,Fecal_Coliform,Total_Coliform,TDS,Fluoride,WQI,WQI_Classification,WQI_Class_Encoded
ANDHRA PRADESH,24.0,7.34,2345.0,3.46,3.0,16.0,1418.0,0.41,41.04975471544963,Good,1
ANDHRA PRADESH,24.0,7.465,2175.0,2.4,3.5,16.5,1294.0,0.3399999999999999,35.53942638419627,Good,1
ANDHRA PRADESH,25.0,7.234999999999999,2078.0,3.8,3.0,13.0,1219.0,0.6950000000000001,64.90317043598252,Poor,3
ANDHRA PRADESH,20.5,7.955,1305.0,1.37,3.0,14.5,770.0,0.28,32.58449634229244,Good,1
ANDHRA PRADESH,22.5,7.35,4239.0,5.015000000000001,9.0,53.0,2597.5,0.85,81.85604117838047,Very Poor,5
ANDHRA PRADESH,24.0,6.95,7477.5,18.24,5.0,40.0,4661.0,1.0,97.33267243478528,Very Poor,5
ANDHRA PRADESH,25.0,6.7,1612.0,7.805000000000001,8.0,62.0,1010.5,0.55,52.33456825353342,Poor,3
ANDHRA PRADESH,25.0,7.05,824.0,1.48,2.0,34.0,517.5,0.9,79.97519189013688,Very Poor,5
ANDHRA PRADESH,26.5,7.640000000000001,2076.5,9.895,4.0,69.5,1344.0,0.265,30.433978758915984,Good,1
ANDHRA PRADESH,26.0,7.5,1200.0,3.44,5.0,78.5,740.0,0.39,39.050538256272894,Good,1
ANDHRA PRADESH,28.5,7.795,521.0,2.36,3.0,33.5,339.0,0.23,26.254154364390875,Good,1
ANDHRA PRADESH,26.5,7.67,1157.5,4.755,3.5,79.5,755.0,0.3,32.37665319757709,Good,1
ANDHRA PRADESH,24.0,7.515000000000001,2257.5,1.73,3.5,17.0,1345.0,0.5900000000000001,57.7810251981047,Poor,3
ANDHRA PRADESH,27.5,6.51,2190.0,9.275,3.0,51.5,1357.0,0.53,52.63461200905042,Poor,3
ANDHRA PRADESH,26.5,7.689999999999999,1446.0,9.495,3.0,41.0,934.5,0.36,45.99999999999991,Good,2
ANDHRA PRADESH,24.5,7.285,3535.0,10.8,7.0,112.5,2267.0,0.615,60.34146653273674,Poor,3
ANDHRA PRADESH,27.0,7.725,1201.5,8.325000000000001,3.5,42.5,780.0,0.99,93.21004360332392,Very Poor,5
ANDHRA PRADESH,25.0,7.870000000000001,1273.0,7.08,3.5,51.5,824.0,0.93,88.99490990168326,Very Poor,5
ANDHRA PRADESH,28.0,7.460000000000001,1005.0,6.275,3.0,57.0,639.0,0.31,31.68870372061405,Good,1
ANDHRA PRADESH,27.0,8.04,3675.0,30.1,3.5,64.0,2436.0,0.27,36.41365755537292,Good,1
ANDHRA PRADESH,26.5,7.685,10750.0,9.48,3.5,59.0,7080.0,0.505,62.10005174565489,Poor,3
ANDHRA PRADESH,25.5,6.984999999999999,856.5,9.065,3.0,64.0,564.0,0.64,57.40693150803073,Poor,3
ANDHRA PRADESH,26.0,8.075,842.0,3.705,3.0,35.5,529.0,0.47,49.56458390405746,Good,1
ANDHRA PRADESH,25.0,7.869999999999999,824.5,4.17,3.0,43.5,555.0,0.405,42.49690477277569,Good,1
ANDHRA PRADESH,23.0,7.52,6220.0,2.95,5.0,49.0,3795.0,0.955,94.44025025619172,Very Poor,5
ANDHRA PRADESH,27.0,8.129999999999999,9560.0,3.905,4.0,46.0,5780.0,0.94,101.28321868119605,Unsuitable for Drinking,4
ANDHRA PRADESH,21.5,7.595,891.0,0.6799999999999999,3.0,11.5,541.0,0.595,57.11360251220082,Poor,3
ANDHRA PRADESH,21.5,7.54,4418.0,4.575,3.5,18.0,2735.0,0.415,45.37547179861809,Good,1
ANDHRA PRADESH,24.5,7.640000000000001,9740.0,8.735,6.5,57.0,5895.0,1.11,113.19498092513112,Unsuitable for Drinking,4
ANDHRA PRADESH,26.5,6.65,1042.5,6.625,7.0,46.0,652.5,0.8,73.77872771639323,Poor,3
ANDHRA PRADESH,25.0,7.15,2505.5,9.215,12.0,69.0,1566.5,1.1,100.45560476465876,Unsuitable for Drinking,4
ANDHRA PRADESH,28.0,6.9,2488.0,3.515,8.0,42.0,1540.0,1.35,121.67134153146849,Unsuitable for Drinking,4
ANDHRA PRADESH,27.0,7.2,3098.5,7.859999999999999,2.0,27.0,1943.0,1.5,136.37477893951848,Unsuitable for Drinking,4
ASSAM,24.5,7.050000000000001,310.5,0.9,305.35,659.28,194.0,0.305,27.383103141265643,Good,1
ASSAM,26.0,7.0,268.0,1.4,75.6,122.5,186.0,0.32,28.3280121551558,Good,1
ASSAM,23.0,6.9,296.5,0.8500000000000001,218.2,615.3,178.0,0.305,27.70420978804574,Good,1
ASSAM,23.0,7.050000000000001,381.5,0.9,360.0,910.0,224.0,0.305,27.462468039448456,Good,1
ASSAM,22.0,7.35,320.0,0.8500000000000001,106.85,255.18,200.0,0.295,28.57365892511085,Good,1
